iter	RMSE
0	0.4476017573
1	0.3411245866
2	0.405301797
33	0.31689030354	0.376287228
5	5	0.295930066	0.3497603412
7	0.3372855967
8	0.3259165813
9	0.314749137
10	010	0.313633311	0.2947218922
12	0.2855390528
13	013	0.230472914	0.2688219948
15	0.2612129283
16	0.254291591
17	0.2478495916
18	0.2417367293
19	0.235773263
20	0.2301308983
21	0.2250756433
22	0.2203825589
23	0.215878922
24	0.21184588
25	0.2078599922
26	0.2042985976
27	0.2005300655
28	0.1973644201
29	0.1940870766
30	0.1912477533
31	0.1884046538
32	0.1860066757
33	033	0.156729234	0.1813794063
35	035	0.153430436	0.1773953312
37	037	0.150044838	038	0.148666939	039	0.1471076097
40	0.145957841	041	0.1449075038
42	0.1438719151
43	0.1427110312
44	0.1415259688
45	0.1407099561
46	0.1395897159
47	0.1386955337
48	0.1379807888
49	0.1370357072
50	0.1364115596
51	0.1355743127
52	0.1350559734
53	0.1343554038
54	0.1337835975
55	0.1332422716
56	0.1325606364
57	0.1319876772
58	0.1312815453
59	0.130722825
60	0.1302485536
61	0.1296604564
62	0.1290980953
63	0.1286242493
64	0.1281928307
65	0.1277904845
66	0.1274029567
67	0.1270977569
68	0.126702197
69	0.1263738443
70	0.1260600653
71	0.1257178114
72	0.1254886546
73	0.125237565
74	0.1249358756
75	0.1247246797
76	0.1242513061
77	0.124049978
78	0.1237628279
79	0.1235840019
80	0.1234075267
81	0.1231667228
82	0.1229581973
83	0.1227182572
84	0.1224414622
85	0.1221611079
86	0.1220229945
87	0.1218822353
88	0.1216737909
89	0.1214747798
90	0.1212515089
91	0.1210031253
92	0.1207634128
93	0.1205273829
94	0.1204064422
95	0.1202699573
96	0.1201513166
97	0.1199741449
98	0.1196482124
99	0.119430185
100	0.1193013371
101	0.1191339889
102	0.1190078274
103	0.1189078241
104	0.118753621
105	0.1186415185
106	0.1184043538
107	0.1181115014
108	0.1178864033
109	0.1176970924
110	0.1175557872
111	0.1174316475
112	0.1172492225
113	0.1170221456
114	0.1168044801
115	0.1166428113
116	0.1165094773
117	0.1163601086
118	0.1162304138
119	0.1160935749
120	0.1159657275
121	0.1158087617
122	0.1156262078
123	0.1155225733
124	0.115238341
125	0.1151373492
126	0.1149921449
127	0.1147129859
128	0.1145225677
129	0.1144717547
130	0.1143275554
131	0.114215391
132	0.1140420812
133	0.1139152023
134	0.1137571992
135	0.1135050054
136	0.1133866088
137	0.1131802323
138	0.1130985907
139	0.1129256973
140	0.1127969445
141	0.112631348
142	0.112506483
143	0.1123831991
144	0.112250802
145	0.1121658753
146	0.1120896993
147	0.1119587108
148	0.1118552996
149	0.111753544
150	0.1116280296
151	0.1115163194
152	0.1114791833
153	0.1112831059
154	0.1111953062
155	0.1110750127
156	0.110832264
157	0.1107663387
158	0.1107091222
159	0.1106018457
160	0.1105338451
161	0.1103473715
162	0.1101041597
163	0.1100373189
164	0.1098073792
165	0.1097095913
166	0.1096470225
167	0.1095641362
168	0.1093982459
169	0.1093007979
170	0.1091831031
171	0.1090854214
172	0.1089216784
173	0.1088051778
174	0.1086923881
175	0.1086021498
176	0.108467095
177	0.1084160163
178	0.1082841923
179	0.1082029424
180	0.1079229149
181	0.1078482084
182	0.1077606188
183	0.1075414577
184	0.1074873357
185	0.107406087
186	0.1073069728
187	0.1071655112
188	0.1070180189
189	0.106846135
190	0.1067504207
191	0.1066572755
192	0.1065937212
193	0.1064721825
194	0.106324292
195	0.1062541873
196	0.1061756988
197	0.1060214359
198	0.1058756561
199	0.1057226034
200	0.1056433369
201	0.1055369701
202	0.1053946802
203	0.1052744633
204	0.1051963742
205	0.105057656
206	0.1049782336
207	0.1048983785
208	0.1047850171
209	0.1047103737
210	0.1046269184
211	0.1045235295
212	0.1044399722
213	0.1043771988
214	0.104287629
215	0.1041658204
216	0.1040858861
217	0.1039582826
218	0.1038542483
219	0.1037726344
220	0.1036696348
221	0.1035936879
222	0.1034687325
223	0.1033484195
224	0.1032565073
225	0.1030539475
226	0.1029612809
227	0.1028782016
228	0.1027719184
229	0.1026700822
230	0.1025982866
231	0.1023942247
232	0.1023065284
233	0.1022386123
234	0.102147356
235	0.1020813676
236	0.1019212817
237	0.1018432224
238	0.1017497097
239	0.1016578203
240	0.1015632295
241	0.101424855
242	0.1013364238
243	0.1012551608
244	0.1011227266
245	0.1010014265
246	0.1008498164
247	0.1007621486
248	0.1006529048
249	0.100567352
250	0.1004897251
251	0.1003925325
252	0.1002699382
253	0.1002049833
254	0.1001150846
255	0.1000158205
256	0.09995862579
257	0.09983143656
258	0.09976558715
259	0.09967041891
260	0.09959959648
261	0.0995485546
262	0.09949349375
263	0.09940180063
264	0.09930684325
265	0.09919360195
266	0.09912275696
267	0.09903982884
268	0.09889628888
269	0.09883609713
270	0.09874323525
271	0.09866519107
272	0.09857744034
273	0.0984532649
274	0.09832469138
275	0.09826622077
276	0.09817158025
277	0.09807950601
278	0.0980190601
279	0.09796296215
280	0.09787324235
281	0.0977575294
282	0.09763343388
283	0.09754625966
284	0.09743711838
285	0.09733766377
286	0.09726613508
287	0.09720348374
288	0.09709549506
289	0.09700463194
290	0.09696043562
