iter	Passed	Remaining
0	361	180155
1	581	14486522	656	108723	3	947	11744	44	1001	995	5	5	1089	86	16	6	1317	977	137	1410	868	158	1621	899	179	1757	811010	2073	9219111111	2315	91121212	2400	8113	213	2497	8114	214	2647	815	2615	2722	816	2716	2761	717	2817	2823	718	3018	3031	719	3019	3104	720	3120	3147	721	3121	3185	622	3322	3403	723	3423	3462	624	2424	3505	625	2525	3539	626	3626	3731	65372
27	3807	628	3828	3867	629	3829	4000	630	4030	4114	62253
31	4168	60968
32	4207	59535
33	4306	59033434	4426	58803535	4558	58753636	4559	57063737	4653	56573838	4873	57611
39	4950	56927
40	5012	56114141	5260	57365
42	5318	56524
43	5389	55857
44	5592	56543
45	5643	55696
46	5804	55947
47	5896	55527
48	5970	54954
49	6012	54110
50	6158	54219
51	6243	53792
52	6295	53092
53	6362	52547
54	6533	52860
55	6588	52238
56	6708	52141
57	6887	52484
58	6924	51758
59	7078	51910
60	7194	51775
61	7258	51280
62	7320	50778
63	7517	51213
64	7584	50760
65	7660	50373
66	7813	50493
67	7890	50126
68	7941	49608
69	8005	49174
70	8053	48664
71	8223	48884
72	8315	48642
73	8392	48316
74	8480	48056
75	8573	47829
76	8721	47914
77	8846	47864
78	8908	47475
79	9064	47586
80	9114	47145
81	9307	47447
82	9364	47047
83	9554	47317
84	9634	47038
85	9700	46697
86	9793	46490
87	10018	46902
88	10152	46883
89	10229	46601
90	10314	46358
91	10439	46295
92	10493	45921
93	10654	46017
94	10710	45660
95	10765	45302
96	10933	45424
97	11025	45225
98	11088	44912
99	11135	44540
100	11343	44811
101	11421	44566
102	11470	44210
103	11645	44344
104	11733	44139
105	11805	43882
106	12019	44147
107	12076	43831
108	12140	43548
109	12191	43225
110	12370	43353
111	12488	43262
112	12540	42947
113	12692	42975
114	12785	42802
115	12837	42495
116	12892	42202
117	13047	42237
118	13159	42133
119	13222	41871
120	13288	41622
121	13456	41693
122	13519	41437
123	13564	41130
124	13792	41376
125	13849	41109
126	13902	40832
127	14064	40874
128	14139	40664
129	14199	40412
130	14249	40136
131	14418	40197
132	14526	40085
133	14575	39811
134	14631	39560
135	14796	39603
136	14882	39433
137	14935	39178
138	14978	38901
139	15165	38997
140	15261	38857
141	15317	38617
142	15348	38318
143	15551	38446
144	15597	38187
145	15641	37925
146	15682	37658
147	15824	37635
148	15932	37531
149	15991	37313
150	16028	37046
151	16139	36952
152	16251	36857
153	16302	36626
154	16358	36411
155	16455	36287
156	16594	36255
157	16656	36053
158	16699	35814
159	16743	35580
160	16836	35450
161	16924	35311
162	17040	35231
163	17169	35176
164	17233	34988
165	17292	34792
166	17488	34871
167	17544	34672
168	17591	34453
169	17625	34213
170	17649	33956
171	17786	33918
172	17887	33810
173	17987	33701
174	18129	33669
175	18173	33456
176	18201	33214
177	18420	33322
178	18494	33166
179	18567	33008
180	18621	32818
181	18680	32639
182	18795	32558
183	18841	32358
184	18874	32137
185	18973	32029
186	19030	31853
187	19082	31668
188	19139	31493
189	19179	31293
190	19232	31114
191	19284	30935
192	19450	30939
193	19508	30770
194	19576	30619
195	19631	30448
196	19745	30370
197	19800	30200
198	19940	30160
