time,location,lat,lon,aqi,pm2_5,pm10,no2,o3,so2,nh3,temp,humidity,wind
2025-09-26 01:19:27.200700,Connaught Place,28.6315,77.2167,80,30,80,10.6,8.5,3.8,0,29.07,65,2.57
2025-09-26 01:19:28.208482,Karol Bagh,28.6517,77.1907,80,30,80,10.6,8.5,3.8,0,27.97,74,2.06
2025-09-26 01:19:29.114235,Chandni Chowk,28.6562,77.23,80,30,80,10.6,8.5,3.8,0,28.06,74,2.06
2025-09-26 01:19:30.069508,Dwarka,28.5921,77.046,78,68,78,12.5,12.6,5.7,0,28.1,74,2.06
2025-09-26 01:19:31.032103,Saket,28.5245,77.2066,127,127,84,22.9,8.2,6.5,0,27.98,74,2.06
2025-09-26 01:19:31.941393,Rohini,28.736,77.12,97,97,76,2.8,14.4,1.2,0,28.06,74,2.06
2025-09-26 01:19:32.912336,Lajpat Nagar,28.5672,77.2433,102,102,73,6.6,7.4,0.8,0,28.08,74,2.06
2025-09-26 01:19:33.957291,Mayur Vihar,28.6034,77.29,100,100,86,6.8,10.4,4.2,0,28.14,74,2.06
2025-09-26 01:19:34.988434,Vasant Kunj,28.527,77.15,127,127,84,22.9,8.2,6.5,0,27.72,74,2.06
2025-09-26 01:19:35.949786,Delhi University,28.6863,77.209,137,137,104,18.4,5.2,6.9,0,28.07,74,2.06
2025-09-25 20:17:33.375922,Connaught Place,28.6315,77.2167,80,30,80,10.6,8.5,3.8,0,30.62,44,1.98
2025-09-25 20:17:33.926549,Karol Bagh,28.6517,77.1907,80,30,80,10.6,8.5,3.8,0,30.56,43,2.01
2025-09-25 20:17:34.476054,Chandni Chowk,28.6562,77.23,80,30,80,10.6,8.5,3.8,0,30.62,44,1.98
2025-09-25 20:17:35.038430,Dwarka,28.5921,77.046,78,68,78,12.5,12.6,5.7,0,30.37,44,2.06
2025-09-25 20:17:35.586296,Saket,28.5245,77.2066,127,127,84,22.9,8.2,6.5,0,30.88,43,1.81
2025-09-25 20:17:36.140121,Rohini,28.736,77.12,97,97,76,2.8,14.4,1.2,0,29.55,47,2.18
2025-09-25 20:17:36.685343,Lajpat Nagar,28.5672,77.2433,102,102,73,6.6,7.4,0.8,0,30.99,43,1.81
2025-09-25 20:17:37.228320,Mayur Vihar,28.6034,77.29,100,100,86,6.8,10.4,4.2,0,30.78,44,1.88
2025-09-25 20:17:37.772243,Vasant Kunj,28.527,77.15,127,127,84,22.9,8.2,6.5,0,30.65,43,1.89
2025-09-25 20:17:38.323278,Delhi University,28.6863,77.209,137,137,104,18.4,5.2,6.9,0,30.45,44,2.03
2025-09-25 21:08:27.802046,Connaught Place,28.6315,77.2167,151,151,85,7.6,10.8,3.4,0,27.06,78,1.03
2025-09-25 21:08:28.460710,Karol Bagh,28.6517,77.1907,151,151,85,7.6,10.8,3.4,0,26.97,78,1.03
2025-09-25 21:08:29.131105,Chandni Chowk,28.6562,77.23,151,151,85,7.6,10.8,3.4,0,27.01,78,1.03
2025-09-25 21:08:29.782558,Dwarka,28.5921,77.046,129,129,91,11.7,7.5,6.1,0,27.1,78,1.03
2025-09-25 21:08:30.428684,Saket,28.5245,77.2066,125,125,71,18.9,10,7.4,0,26.98,78,1.03
2025-09-25 21:08:31.075854,Rohini,28.736,77.12,108,108,72,3.1,13.1,1.2,0,27.06,78,1.03
2025-09-25 21:08:31.717131,Lajpat Nagar,28.5672,77.2433,107,107,70,6,8.9,0.8,0,27.08,78,1.03
2025-09-25 21:08:32.355078,Mayur Vihar,28.6034,77.29,83,83,78,6.8,10.2,4.5,0,27.14,78,1.03
